 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.14737E-02       0.16547E-11       0.16543E-02       0.92160E-02       0.00000E+00       0.00000E+00
      0      1      -0.90978E+00       0.58850E-03       0.16162E+00      -0.98621E-01       0.16496E+00       0.25548E+01
      0      1      -0.13201E+01       0.17421E-02       0.87190E-01       0.22976E+01       0.13249E+00       0.33379E+01
      0      1       0.83132E+00      -0.63790E-03       0.77871E-01       0.14337E+01      -0.19716E+00      -0.54147E+00
      0      1       0.23430E+01      -0.48887E-02      -0.19663E+00      -0.54295E+01       0.16029E+00       0.15780E+01
      0      1      -0.60195E+00       0.66033E-03       0.11355E+00       0.13868E+01      -0.37409E+00      -0.24697E+01
      0      1       0.63105E+00      -0.12944E-02       0.47536E-02      -0.38297E+01      -0.16109E+00      -0.11271E+01
      0      1      -0.11166E+01       0.52646E-03       0.88861E-02       0.16560E+01      -0.38881E-01      -0.21830E+01
      0      1       0.38072E+00      -0.11231E-02      -0.37430E-01      -0.35819E+01      -0.26302E+00      -0.22485E+01
      0      1       0.17648E+01      -0.16411E-02      -0.34225E-01      -0.48819E+01       0.18799E+00       0.15804E+01
      0      1       0.75031E+00      -0.45358E-02      -0.44863E+00       0.72304E+00       0.90510E-01       0.47562E+00
      0      1      -0.22797E+00       0.13713E-02       0.13635E+00       0.34711E+01       0.13372E-01      -0.10671E+01
      0      1       0.84479E+00      -0.36343E-02      -0.14514E+00      -0.48229E+01       0.99375E-01       0.13584E+01
      0      1      -0.22096E+01       0.53114E-02       0.31667E+00       0.50793E+01       0.97829E-01      -0.13001E+01
      0      1      -0.56017E+00       0.22826E-02       0.13432E+00       0.27528E+01       0.34826E+00       0.20271E+01
      0      1       0.84385E+00       0.61535E-03       0.67388E-01       0.20862E+01       0.25667E+00       0.33630E+00
      0      1      -0.15094E+01       0.43283E-02       0.19816E+00       0.53373E+01       0.14847E+00      -0.11871E+01
      0      1      -0.21082E+01       0.50159E-02       0.41445E+00       0.21171E+01       0.20323E+00       0.37798E-01
      0      1       0.66064E-01      -0.57584E-03      -0.99877E-01       0.52140E+00      -0.31615E+00      -0.25580E+01
      0      1      -0.86785E+00       0.39309E-02       0.29323E+00       0.97018E+00       0.50817E-01      -0.20598E+01
      0      1      -0.87685E+00       0.34376E-02       0.11602E+00       0.25780E+01      -0.65177E-01       0.11812E-02
      0      1      -0.16501E+01       0.52622E-02       0.33293E+00       0.53537E+01       0.14992E+00       0.96314E+00
      0      1       0.16637E+01      -0.53752E-02      -0.42934E+00      -0.48783E+01       0.10706E+00       0.80180E+00
      0      1      -0.48043E-01      -0.14131E-03      -0.56500E-02      -0.38273E+00       0.35825E+00       0.18428E+01
      0      1      -0.89401E+00       0.26415E-02       0.31559E+00       0.48288E+00      -0.27877E+00      -0.17879E+01
      0      1       0.13967E+01      -0.37334E-02      -0.24459E+00      -0.13411E+01      -0.29129E+00      -0.18115E+01
      0      1      -0.97357E+00       0.36321E-02       0.31477E+00       0.29015E+01      -0.22160E+00      -0.19243E+01
      0      1       0.11979E+01      -0.10526E-02       0.14754E+00      -0.60761E+01      -0.29048E+00      -0.14888E+01
      0      1       0.12624E+01      -0.45830E-02      -0.36654E+00      -0.43767E+01      -0.24859E+00      -0.20717E+00
      0      1       0.17611E+01      -0.26156E-02      -0.85407E-01      -0.17787E+01      -0.43401E-01      -0.58198E+00
      0      1       0.62440E+00       0.76396E-03       0.96956E-01       0.24714E+01       0.17778E+00       0.16799E+01
      0      1       0.27382E+00      -0.62963E-03      -0.13010E+00       0.21151E+01       0.18270E+00       0.85000E+00
      0      1       0.65099E+00      -0.37068E-04       0.11198E+00      -0.31316E+01       0.32925E+00      -0.53776E+00
      0      1       0.13143E+00       0.11636E-02       0.42631E-01      -0.20479E+01      -0.10569E+00      -0.52281E+00
      0      1      -0.96645E+00       0.46260E-03      -0.11450E+00       0.37253E+01       0.16782E-01       0.97397E+00
      0      1       0.16525E+01      -0.37360E-02      -0.14963E+00      -0.40165E+01       0.20700E+00       0.83671E-01
      0      1      -0.11678E+01       0.43235E-02       0.29339E+00       0.52211E+01       0.18168E+00       0.19139E+01
      0      1       0.47395E+00      -0.92123E-04      -0.13033E+00      -0.65412E+00      -0.32599E+00      -0.17808E+01
      0      1       0.25680E+01      -0.55930E-02      -0.41408E+00      -0.53394E+01       0.11533E+00      -0.22425E+00
      0      1      -0.10888E+00       0.13685E-02      -0.24103E-01      -0.15562E+01       0.34684E-01      -0.76278E+00
      0      1      -0.17893E+01       0.17207E-02       0.30028E-01       0.38489E+01       0.31094E+00       0.25316E+01
      0      1       0.35315E-01       0.29182E-03       0.81711E-01      -0.44789E+01       0.15528E+00       0.78360E+00
      0      1      -0.74547E-01       0.75077E-03       0.10090E+00       0.99395E+00       0.85178E-01       0.75389E+00
      0      1      -0.13568E+00      -0.44686E-03       0.49016E-01       0.76314E+00       0.15400E+00       0.11165E+01
      0      1       0.22080E+01      -0.33873E-02      -0.25594E+00      -0.37022E+01      -0.32877E+00      -0.19502E+01
      0      1       0.95289E+00      -0.23763E-02      -0.20102E+00      -0.42067E+01       0.17315E+00      -0.10785E+00
      0      1       0.21817E+01      -0.37370E-02      -0.22528E+00      -0.37580E+01      -0.19465E+00      -0.23486E+01
      0      1      -0.18340E+01       0.11880E-02      -0.12468E+00       0.62377E+01      -0.39797E-01       0.28587E-01
      0      1       0.60257E+00      -0.34137E-02      -0.32843E+00       0.71423E+00       0.79519E-01       0.14929E+01
      0      1      -0.19845E+01       0.54068E-02       0.40580E+00       0.36279E+01       0.18820E+00       0.24109E+01
      0      1      -0.16398E+01       0.47733E-02       0.29204E+00       0.14683E+01       0.11595E+00       0.31754E+00
      0      1       0.11857E+01      -0.27339E-03       0.13835E+00      -0.43190E+01       0.71028E-01       0.11477E+01
      0      1      -0.20608E+00      -0.23653E-02      -0.28032E+00      -0.13661E+01       0.29662E-03      -0.61219E+00
      0      1       0.16933E+00       0.16085E-02       0.67712E-01       0.10760E+01      -0.97780E-02       0.22281E+01
      0      1      -0.23848E+01       0.61584E-02       0.30429E+00       0.64538E+01       0.94118E-01       0.87305E+00
      0      1       0.90288E+00      -0.69821E-03      -0.81423E-01      -0.19748E+00      -0.28470E+00       0.85902E+00
      0      1       0.73347E+00      -0.74575E-03      -0.63340E-01      -0.76596E+00       0.53854E-01       0.12158E+01
      0      1      -0.49908E+00       0.57108E-03       0.53968E-01       0.28085E+00      -0.16510E+00      -0.22838E+01
      0      1       0.10233E+01      -0.22059E-02      -0.63375E-01      -0.25778E+01       0.18328E+00      -0.64206E+00
      0      1      -0.14717E+01       0.35732E-02       0.29936E+00       0.53743E+01      -0.95674E-01      -0.14856E+01
      0      1      -0.58797E+00       0.10830E-02       0.10871E+00      -0.96505E+00       0.11427E-01      -0.54659E+00
      0      1       0.13020E+01      -0.35684E-03       0.13788E+00      -0.17814E+01      -0.83263E-02       0.20881E+00
      0      1       0.24032E+01      -0.19005E-02       0.10441E-01      -0.33956E+01       0.88880E-01       0.41599E+00
      0      1       0.88335E+00      -0.57753E-03       0.69731E-01      -0.57206E+01       0.12315E+00       0.70622E+00
      0      1       0.64848E-01      -0.26046E-02      -0.35077E+00       0.36155E+01       0.82309E-02      -0.10627E+01
      0      1      -0.86112E+00       0.24495E-02       0.12944E+00       0.14185E+01       0.46158E-01       0.31897E+01
      0      1      -0.10024E+01       0.14640E-02      -0.60064E-01       0.22413E+01       0.37976E+00       0.12311E+01
      0      1      -0.17970E+00       0.60440E-03       0.47599E-01       0.27763E+01      -0.32825E+00      -0.19122E+01
      0      1       0.15169E+01      -0.23162E-02      -0.13799E+00      -0.37336E+01       0.23623E-01       0.99849E+00
      0      1       0.73710E+00      -0.33213E-02      -0.33056E+00      -0.12083E+01       0.27591E+00      -0.34588E+00
      0      1      -0.55369E+00       0.12169E-02       0.30781E+00      -0.26116E+01       0.14797E+00      -0.11378E+00
      0      1      -0.23810E+01       0.35863E-02       0.25701E+00       0.60233E+00       0.14848E+00       0.12215E+01
      0      1       0.86121E+00      -0.17086E-02      -0.86125E-01       0.10663E+00      -0.10631E+00       0.14635E+01
      0      1       0.61137E+00      -0.25265E-02      -0.24002E+00       0.10070E+01       0.34112E+00       0.12679E+01
      0      1      -0.20115E+01       0.20847E-02       0.35957E-01       0.56203E+01      -0.26270E+00      -0.15183E+01
      0      1       0.23066E+01      -0.36879E-02      -0.11815E+00      -0.74565E+01      -0.12632E+00      -0.60328E+00
      0      1      -0.35773E+00       0.18132E-02       0.14737E+00       0.23414E+01      -0.25343E+00      -0.27101E+01
      0      1       0.17876E+00      -0.86635E-03      -0.12646E+00       0.57654E+00      -0.16111E+00       0.18754E+01
      0      1       0.24648E+01      -0.44695E-02      -0.34307E+00      -0.24966E+01      -0.95879E-01      -0.43290E+00
      0      1      -0.20650E+01       0.30423E-02       0.10275E+00       0.47087E+01      -0.18595E+00      -0.14829E+01
      0      1       0.16071E+00      -0.82434E-03      -0.32551E-01       0.10788E+01       0.16290E+00      -0.18750E+01
      0      1      -0.19555E+01       0.32414E-02       0.12094E+00       0.30683E+01       0.36691E+00       0.73031E+00
      0      1      -0.18679E+01       0.56517E-02       0.31526E+00       0.58967E+01       0.19465E+00       0.70786E+00
      0      1       0.13054E+01      -0.35489E-02      -0.10607E+00      -0.27545E+01       0.24705E+00       0.16526E+01
      0      1      -0.29299E+00      -0.78061E-03      -0.21651E+00       0.44401E+01      -0.17752E+00      -0.97841E+00
      0      1      -0.68154E-01      -0.14566E-02      -0.70460E-01      -0.70542E+00      -0.19653E+00      -0.11488E+01
      0      1       0.33949E+00      -0.14596E-02      -0.13894E+00       0.75160E+00       0.32351E+00       0.80530E+00
      0      1      -0.77944E+00       0.65782E-03      -0.87071E-02       0.84508E+00      -0.16688E+00      -0.16048E+01
      0      1      -0.16637E-01      -0.47708E-03      -0.17300E+00       0.43626E+01      -0.21546E+00      -0.13007E+01
      0      1       0.76881E-01      -0.61536E-03      -0.12123E+00       0.43079E+01      -0.25774E+00      -0.18605E+01
      0      1      -0.69773E+00       0.82064E-03      -0.15164E-01       0.14641E+01       0.15576E-01      -0.20250E+01
      0      1      -0.31031E+00       0.28610E-02       0.11588E+00       0.27812E+01      -0.24238E+00      -0.13854E+01
      0      1       0.36262E+00       0.20788E-02       0.23447E+00      -0.79911E+00      -0.83538E-01       0.15676E+01
      0      1       0.13396E+01      -0.49990E-02      -0.44757E+00      -0.23600E+01      -0.14717E+00      -0.83777E+00
      0      1      -0.70390E+00       0.27154E-02       0.35410E+00      -0.12355E+01       0.48584E-01       0.80118E+00
      0      1      -0.43735E+00      -0.75910E-03      -0.11894E+00       0.36137E+01       0.17111E+00       0.74321E-01
      0      1       0.18278E+01      -0.40328E-02      -0.23135E+00      -0.25029E+01       0.11032E+00       0.25388E+01
      0      1       0.87305E+00      -0.13521E-03       0.45479E-01      -0.16524E+01       0.34594E+00       0.42766E+00
      0      1       0.45330E+00      -0.21161E-02      -0.14983E+00      -0.51669E+01      -0.16916E+00      -0.58697E+00
      0      1       0.15098E+01      -0.33829E-02      -0.85815E-01      -0.79806E+01      -0.13419E+00      -0.19174E+00
      0      1       0.23361E+00      -0.32091E-02      -0.33782E+00       0.29858E+01       0.12755E+00      -0.10233E-01
      0      1       0.48940E+00      -0.14662E-02      -0.12241E+00      -0.52538E+01       0.91426E-01      -0.86701E+00
