 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.67619E-12       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00
      0      1       0.26493E+00       0.13067E-02       0.23923E+01       0.16476E+02       0.79907E-01       0.81306E+00
      0      1       0.49187E+00      -0.80759E-03       0.27729E+01       0.19092E+02      -0.20239E+00      -0.10292E+01
      0      1       0.30562E+00       0.17514E-02      -0.34417E+00      -0.23711E+01       0.65392E+00       0.26396E+01
      0      1      -0.56300E+00      -0.15185E-02      -0.84776E+00      -0.58379E+01       0.37951E+00       0.11802E+01
      0      1       0.95513E+00      -0.58228E-03      -0.54880E+00      -0.37811E+01       0.29697E-01       0.34604E+00
      0      1       0.21834E+00       0.15516E-02       0.16258E+01       0.11194E+02       0.73462E+00       0.33255E+01
      0      1       0.57563E+00      -0.57734E-02      -0.20522E+01      -0.14130E+02       0.17620E-01       0.35165E+00
      0      1      -0.84142E-03      -0.34607E-02      -0.27578E+01      -0.18991E+02      -0.30219E+00      -0.37047E+00
      0      1      -0.27485E-01       0.15840E-02       0.44768E+00       0.30800E+01      -0.28998E+00      -0.42355E+00
      0      1      -0.73625E+00       0.70190E-02       0.92266E+00       0.63525E+01       0.34683E-01       0.65578E-02
      0      1       0.31114E+00       0.23051E-02       0.14585E+01       0.10041E+02       0.30328E+00       0.24031E+01
      0      1       0.13922E+00      -0.42142E-02      -0.49520E+00      -0.34090E+01       0.36571E+00       0.42054E+00
      0      1       0.54180E-01       0.10916E-03       0.21088E+01       0.14516E+02      -0.16684E+00      -0.11171E+00
      0      1       0.11062E+01      -0.62199E-02       0.12715E+01       0.87545E+01       0.54141E-01      -0.59644E-01
      0      1      -0.55852E+00      -0.93336E-03      -0.26696E+01      -0.18381E+02       0.30319E+00       0.21095E+01
      0      1       0.32239E+00      -0.20359E-02       0.68944E+00       0.47466E+01       0.11231E+00       0.82583E+00
      0      1      -0.48514E+00       0.36009E-02      -0.97358E+00      -0.67014E+01      -0.27765E+00      -0.82213E+00
      0      1       0.14881E+00      -0.38150E-03       0.18634E+01       0.12831E+02       0.45900E+00       0.46906E+00
      0      1       0.46523E+00      -0.34983E-02       0.19687E+01       0.13559E+02       0.19739E+00       0.11529E+01
      0      1      -0.56685E+00      -0.39146E-03      -0.15175E+01      -0.10453E+02      -0.21754E+00      -0.98212E+00
      0      1      -0.67652E+00       0.48790E-02      -0.13276E+01      -0.91424E+01      -0.39314E+00      -0.11367E+01
      0      1      -0.96093E-01       0.19323E-02      -0.15869E+01      -0.10927E+02       0.11718E-01      -0.25062E+00
