n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.100000E+01   0.141014E-08   0.191583E+00   0.191395E+00   0.526568E+00   0.538449E+00   0.250483E+01   0.691830E+01   0.251203E-02      0.401227E-01        0.628814E-01        0.790961E-01        0.398569E-01        0.627987E-01        0.792912E-01        0.573755E+01        0.899565E+01        0.114013E+02     0.510695E-08  -0.247105E-07  -0.405465E-08  -0.191795E-07   0.463491E-01  -0.196044E-06  -0.551355E+00   0.169599E+00  -0.549497E+00   0.170396E+00   0.997852E-01      0.100209E+02     0.000000E+00    0.100001E+06
   1  drift  0.145182E+01   0.100000E+01   0.141340E-08   0.326226E+00   0.324894E+00   0.909841E+00   0.891067E+00   0.262427E+01   0.728412E+01   0.251203E-02      0.401227E-01        0.628814E-01        0.790961E-01        0.398569E-01        0.627987E-01        0.792912E-01        0.573756E+01        0.899344E+01        0.113985E+02     0.151942E-08  -0.247105E-07  -0.683917E-08  -0.191795E-07   0.463491E-01   0.183387E-02  -0.166761E+01   0.491753E+00  -0.165879E+01   0.491000E+00   0.329490E+00      0.109993E+02     0.000000E+00    0.100001E+06
   2  quad   0.175182E+01   0.100000E+01   0.141340E-08   0.312705E+00   0.407718E+00   0.876427E+00   0.111092E+01   0.266366E+01   0.739096E+01   0.251203E-02      0.401241E-01        0.628958E-01        0.791143E-01        0.398585E-01        0.627312E-01        0.793061E-01        0.573757E+01        0.899310E+01        0.113981E+02     0.678260E-07   0.429831E-05  -0.188890E-06  -0.130560E-04   0.463491E-01   0.254837E-02   0.286831E+01   0.451818E+00  -0.863276E+01   0.773215E+00   0.376956E+00      0.113320E+02     0.000000E+00    0.100001E+06
   3  drift  0.185187E+01   0.100000E+01   0.141340E-08   0.292925E+00   0.453292E+00   0.821992E+00   0.123550E+01   0.267783E+01   0.742660E+01   0.251203E-02      0.401241E-01        0.628958E-01        0.791143E-01        0.398585E-01        0.627312E-01        0.793061E-01        0.573757E+01        0.899306E+01        0.113980E+02     0.110831E-06   0.429831E-05  -0.319515E-06  -0.130560E-04   0.463491E-01   0.302263E-02   0.266398E+01   0.396468E+00  -0.961001E+01   0.955734E+00   0.392787E+00      0.114529E+02     0.000000E+00    0.100001E+06
   4  quad   0.215187E+01   0.100000E+01   0.141340E-08   0.298748E+00   0.481914E+00   0.838277E+00   0.131386E+01   0.272331E+01   0.753343E+01   0.251203E-02      0.401229E-01        0.628939E-01        0.791118E-01        0.398606E-01        0.627977E-01        0.792901E-01        0.573757E+01        0.899268E+01        0.113976E+02     0.181111E-06   0.603602E-06  -0.238784E-06   0.181775E-04   0.463491E-01   0.361131E-02  -0.327212E+01   0.412402E+00   0.610180E+01   0.108018E+01   0.440252E+00      0.118452E+02     0.000000E+00    0.100001E+06
   5  drift  0.239279E+01   0.100000E+01   0.141340E-08   0.356283E+00   0.416467E+00   0.996488E+00   0.113498E+01   0.276297E+01   0.761923E+01   0.251203E-02      0.401229E-01        0.628939E-01        0.791118E-01        0.398606E-01        0.627977E-01        0.792901E-01        0.573757E+01        0.899244E+01        0.113973E+02     0.195653E-06   0.603602E-06   0.199153E-06   0.181775E-04   0.463491E-01   0.431140E-02  -0.395603E+01   0.586544E+00   0.524907E+01   0.806712E+00   0.478371E+00      0.121927E+02     0.000000E+00    0.100001E+06
   6  quad   0.264279E+01   0.100000E+01   0.141340E-08   0.385545E+00   0.382422E+00   0.107381E+01   0.104477E+01   0.280692E+01   0.770825E+01   0.251203E-02      0.401233E-01        0.628819E-01        0.790967E-01        0.398580E-01        0.627827E-01        0.792711E-01        0.573757E+01        0.899208E+01        0.113968E+02     0.235225E-06   0.258702E-05   0.564727E-06   0.116564E-04   0.463491E-01   0.469237E-02   0.170483E+00   0.686840E+00   0.905522E-01   0.680255E+00   0.517926E+00      0.125837E+02     0.000000E+00    0.100001E+06
   7  drift  0.297197E+01   0.100000E+01   0.141340E-08   0.382841E+00   0.381195E+00   0.105842E+01   0.104319E+01   0.286894E+01   0.784184E+01   0.251203E-02      0.401233E-01        0.628819E-01        0.790967E-01        0.398580E-01        0.627827E-01        0.792711E-01        0.573758E+01        0.899154E+01        0.113961E+02     0.320384E-06   0.258702E-05   0.948433E-06   0.116564E-04   0.463491E-01   0.497035E-02   0.121163E+00   0.677239E+00   0.417647E-01   0.675899E+00   0.570008E+00      0.131459E+02     0.000000E+00    0.100001E+06
   8  drift  0.363197E+01   0.100000E+01   0.141340E-08   0.380156E+00   0.381461E+00   0.103291E+01   0.104868E+01   0.300635E+01   0.822342E+01   0.251203E-02      0.401233E-01        0.628819E-01        0.790967E-01        0.398580E-01        0.627827E-01        0.792711E-01        0.573758E+01        0.899046E+01        0.113947E+02     0.491127E-06   0.258702E-05   0.171776E-05   0.116564E-04   0.463491E-01   0.552769E-02   0.222781E-01   0.667772E+00  -0.560533E-01   0.676842E+00   0.674432E+00      0.144353E+02     0.000000E+00    0.100001E+06
   9  drift  0.408177E+01   0.100000E+01   0.141340E-08   0.380448E+00   0.383721E+00   0.104141E+01   0.105898E+01   0.310901E+01   0.850799E+01   0.251203E-02      0.401233E-01        0.628819E-01        0.790967E-01        0.398580E-01        0.627827E-01        0.792711E-01        0.573759E+01        0.898972E+01        0.113938E+02     0.607491E-06   0.258702E-05   0.224206E-05   0.116564E-04   0.463491E-01   0.590752E-02  -0.451137E-01   0.668799E+00  -0.122718E+00   0.684883E+00   0.745598E+00      0.154380E+02     0.000000E+00    0.100001E+06
