n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.100000E+01  -0.603827E-05   0.191326E+00   0.197378E+00   0.495751E+00   0.506899E+00   0.235065E+01   0.624690E+01   0.250857E-02      0.408114E-01        0.640493E-01        0.751753E-01        0.412941E-01        0.650653E-01        0.752201E-01        0.537214E+01        0.881204E+01        0.108925E+02     0.301983E-05   0.146626E-05   0.719653E-06   0.102555E-03   0.463491E-01  -0.518592E-04  -0.524784E+00   0.166291E+00  -0.542496E+00   0.174908E+00   0.108560E+00      0.942554E+01     0.000000E+00    0.100100E+04
   1  drift  0.145182E+01   0.100000E+01  -0.603826E-05   0.325169E+00   0.329824E+00   0.816247E+00   0.837816E+00   0.247840E+01   0.657962E+01   0.250857E-02      0.408114E-01        0.640493E-01        0.751753E-01        0.412941E-01        0.650653E-01        0.752201E-01        0.537214E+01        0.880977E+01        0.108897E+02     0.323271E-05   0.146626E-05   0.156089E-04   0.102555E-03   0.463491E-01   0.179968E-02  -0.163828E+01   0.480329E+00  -0.161683E+01   0.488403E+00   0.353183E+00      0.104778E+02     0.000000E+00    0.100100E+04
   2  quad   0.175182E+01   0.100000E+01  -0.603826E-05   0.311899E+00   0.413206E+00   0.783912E+00   0.106112E+01   0.252019E+01   0.670715E+01   0.250857E-02      0.408073E-01        0.640185E-01        0.750510E-01        0.412921E-01        0.648903E-01        0.752787E-01        0.537214E+01        0.880943E+01        0.108893E+02     0.822242E-06  -0.158364E-03   0.230759E-04   0.412191E-03   0.463491E-01   0.252353E-02   0.279380E+01   0.441969E+00  -0.852632E+01   0.766596E+00   0.403728E+00      0.108342E+02     0.000000E+00    0.100100E+04
   3  drift  0.185187E+01   0.100000E+01  -0.603826E-05   0.292259E+00   0.459218E+00   0.734100E+00   0.118178E+01   0.253520E+01   0.674964E+01   0.250857E-02      0.408073E-01        0.640185E-01        0.750510E-01        0.412921E-01        0.648903E-01        0.752787E-01        0.537214E+01        0.880940E+01        0.108892E+02    -0.762192E-06  -0.158364E-03   0.271999E-04   0.412191E-03   0.463491E-01   0.300446E-02   0.259447E+01   0.388059E+00  -0.948817E+01   0.946831E+00   0.420584E+00      0.109636E+02     0.000000E+00    0.100100E+04
   4  quad   0.215187E+01   0.100000E+01  -0.603826E-05   0.298429E+00   0.487784E+00   0.744983E+00   0.126078E+01   0.258329E+01   0.687718E+01   0.250857E-02      0.408114E-01        0.639968E-01        0.752019E-01        0.413047E-01        0.648378E-01        0.751307E-01        0.537214E+01        0.880901E+01        0.108888E+02    -0.296990E-05   0.822346E-05   0.287495E-04  -0.315611E-03   0.463491E-01   0.360204E-02  -0.322660E+01   0.404579E+00   0.606418E+01   0.106797E+01   0.471132E+00      0.113835E+02     0.000000E+00    0.100100E+04
   5  drift  0.239279E+01   0.100000E+01  -0.603826E-05   0.356213E+00   0.421198E+00   0.883060E+00   0.109232E+01   0.262514E+01   0.697955E+01   0.250857E-02      0.408114E-01        0.639968E-01        0.752019E-01        0.413047E-01        0.648378E-01        0.751307E-01        0.537215E+01        0.880879E+01        0.108885E+02    -0.277178E-05   0.822346E-05   0.211457E-04  -0.315611E-03   0.463491E-01   0.431662E-02  -0.390611E+01   0.576421E+00   0.521203E+01   0.796297E+00   0.511728E+00      0.117552E+02     0.000000E+00    0.100100E+04
   6  quad   0.264279E+01   0.100000E+01  -0.603826E-05   0.385753E+00   0.386354E+00   0.949347E+00   0.100540E+01   0.267142E+01   0.708584E+01   0.250857E-02      0.408088E-01        0.640495E-01        0.750874E-01        0.412990E-01        0.650206E-01        0.751684E-01        0.537215E+01        0.880843E+01        0.108880E+02    -0.387720E-05  -0.978455E-04   0.161325E-04  -0.925455E-04   0.463491E-01   0.470547E-02   0.148379E+00   0.676032E+00   0.119021E+00   0.670090E+00   0.553852E+00      0.121734E+02     0.000000E+00    0.100100E+04
   7  drift  0.297197E+01   0.100000E+01  -0.603826E-05   0.383427E+00   0.384564E+00   0.932803E+00   0.100349E+01   0.273657E+01   0.722583E+01   0.250857E-02      0.408088E-01        0.640495E-01        0.750874E-01        0.412990E-01        0.650206E-01        0.751684E-01        0.537215E+01        0.881876E+01        0.108874E+02    -0.709808E-05  -0.978455E-04   0.130860E-04  -0.925455E-04   0.463491E-01   0.498725E-02   0.986143E-01   0.667901E+00   0.692008E-01   0.663894E+00   0.609316E+00      0.127744E+02     0.000000E+00    0.100100E+04
   8  drift  0.363197E+01   0.100000E+01  -0.603826E-05   0.381576E+00   0.383827E+00   0.946476E+00   0.999668E+00   0.288035E+01   0.750652E+01   0.250857E-02      0.408088E-01        0.640495E-01        0.750874E-01        0.412990E-01        0.650206E-01        0.751684E-01        0.537215E+01        0.881764E+01        0.108860E+02    -0.135559E-04  -0.978455E-04   0.697804E-05  -0.925455E-04   0.463491E-01   0.555222E-02  -0.116365E-02   0.661470E+00  -0.306887E-01   0.661352E+00   0.720520E+00      0.141520E+02     0.000000E+00    0.100100E+04
   9  drift  0.408177E+01   0.100000E+01  -0.603826E-05   0.382487E+00   0.385513E+00   0.966832E+00   0.997061E+00   0.298735E+01   0.769782E+01   0.250857E-02      0.408088E-01        0.640495E-01        0.750874E-01        0.412990E-01        0.650206E-01        0.751684E-01        0.537215E+01        0.881689E+01        0.108850E+02    -0.179570E-04  -0.978455E-04   0.281534E-05  -0.925455E-04   0.463491E-01   0.593726E-02  -0.691638E-01   0.664633E+00  -0.987649E-01   0.667175E+00   0.796307E+00      0.152229E+02     0.000000E+00    0.100100E+04
  10  drift  0.440177E+01   0.100000E+01  -0.603826E-05   0.384203E+00   0.387780E+00   0.983764E+00   0.995206E+00   0.306742E+01   0.783391E+01   0.250857E-02      0.408088E-01        0.640495E-01        0.750874E-01        0.412990E-01        0.650206E-01        0.751684E-01        0.537215E+01        0.881635E+01        0.108844E+02    -0.210880E-04  -0.978455E-04  -0.146110E-06  -0.925455E-04   0.463491E-01   0.621118E-02  -0.117541E+00   0.670607E+00  -0.147196E+00   0.675046E+00   0.850225E+00      0.160500E+02     0.000000E+00    0.100100E+04
  11  drift  0.477527E+01   0.100000E+01  -0.603826E-05   0.387310E+00   0.391527E+00   0.100939E+01   0.993042E+00   0.316467E+01   0.805684E+01   0.250857E-02      0.408088E-01        0.640495E-01        0.750874E-01        0.412990E-01        0.650206E-01        0.751684E-01        0.537215E+01        0.881572E+01        0.108836E+02    -0.247426E-04  -0.978455E-04  -0.360268E-05  -0.925455E-04   0.463491E-01   0.653091E-02  -0.174006E+00   0.681497E+00  -0.203725E+00   0.688153E+00   0.913156E+00      0.170838E+02     0.000000E+00    0.100100E+04
  12  bmag   0.553782E+01   0.100000E+01  -0.611342E-05   0.392118E+00   0.401323E+00   0.104487E+01   0.102633E+01   0.337414E+01   0.880249E+01   0.250857E-02      0.438768E-01        0.685447E-01        0.788776E-01        0.412993E-01        0.649946E-01        0.751382E-01        0.539711E+01        0.894259E+01        0.109456E+02    -0.160759E-03   0.419749E-02  -0.112126E-04  -0.719565E-04   0.463491E-01   0.722964E-02  -0.244269E+00   0.649682E+00  -0.165388E-01   0.723014E+00   0.103219E+01      0.193303E+02     0.000000E+00    0.100100E+04
  13  drift  0.647782E+01   0.100000E+01  -0.611342E-05   0.409922E+00   0.405556E+00   0.109865E+01   0.107335E+01   0.364907E+01   0.971549E+01   0.250857E-02      0.438768E-01        0.685447E-01        0.788776E-01        0.412993E-01        0.649946E-01        0.751382E-01        0.539710E+01        0.894092E+01        0.109436E+02     0.233806E-03   0.419749E-02  -0.179765E-04  -0.719565E-04   0.463491E-01   0.803800E-02  -0.397588E+00   0.710017E+00  -0.146586E+00   0.738348E+00   0.118984E+01      0.226089E+02     0.000000E+00    0.100100E+04
  14  bmag   0.828862E+01   0.100000E+01  -0.610696E-05   0.168243E+00   0.443957E+00   0.449078E+00   0.119649E+01   0.415930E+01   0.105021E+02   0.250857E-02      0.122612E+00        0.196264E+00        0.232540E+00        0.413147E-01        0.641367E-01        0.751896E-01        0.649620E+01        0.104960E+02        0.131860E+02     0.213154E-02   0.909421E-02  -0.217907E-04   0.588170E-03   0.463491E-01   0.103488E-01  -0.351129E+00   0.427995E-01  -0.683182E+00   0.884463E+00   0.107997E+01      0.244038E+02     0.000000E+00    0.100100E+04
  15  drift  0.928862E+01   0.100000E+01  -0.610696E-05   0.498322E+00   0.480877E+00   0.127114E+01   0.128238E+01   0.445637E+01   0.114742E+02   0.250857E-02      0.122612E+00        0.196264E+00        0.232540E+00        0.413147E-01        0.641367E-01        0.751896E-01        0.649649E+01        0.104952E+02        0.131850E+02     0.304096E-02   0.909421E-02   0.370263E-04   0.588170E-03   0.463491E-01   0.138870E-01  -0.297567E+01   0.375480E+00  -0.849016E+00   0.103768E+01   0.121927E+01      0.280129E+02     0.000000E+00    0.100100E+04
  16  quad   0.944102E+01   0.100000E+01  -0.610696E-05   0.614950E+00   0.436493E+00   0.158968E+01   0.116107E+01   0.450298E+01   0.116236E+02   0.250857E-02      0.122692E+00        0.195983E+00        0.233313E+00        0.413181E-01        0.640326E-01        0.752439E-01        0.649672E+01        0.104954E+02        0.131851E+02     0.354651E-02   0.580981E-01   0.407476E-04  -0.100899E-03   0.463491E-01   0.158509E-01  -0.107340E+02   0.571432E+00   0.118762E+02   0.854900E+00   0.124046E+01      0.286010E+02     0.000000E+00    0.100100E+04
  17  drift  0.963152E+01   0.100000E+01  -0.610696E-05   0.835257E+00   0.321127E+00   0.217839E+01   0.849354E+00   0.456175E+01   0.118128E+02   0.250857E-02      0.122692E+00        0.195983E+00        0.233313E+00        0.413181E-01        0.640326E-01        0.752439E-01        0.649735E+01        0.104960E+02        0.131859E+02     0.465328E-02   0.580981E-01   0.388255E-04  -0.100899E-03   0.463491E-01   0.211344E-01  -0.146085E+02   0.105421E+01   0.871097E+01   0.462715E+00   0.126686E+01      0.293496E+02     0.000000E+00    0.100100E+04
  18  quad   0.978392E+01   0.100000E+01  -0.610696E-05   0.885254E+00   0.272347E+00   0.231875E+01   0.713793E+00   0.460903E+01   0.119617E+02   0.250857E-02      0.122499E+00        0.195280E+00        0.231649E+00        0.413143E-01        0.640714E-01        0.752012E-01        0.649747E+01        0.104959E+02        0.131858E+02     0.477404E-02  -0.418117E-01   0.438817E-04   0.764619E-03   0.463491E-01   0.224061E-01   0.674085E+01   0.118606E+01   0.673035E+00   0.332849E+00   0.128806E+01      0.299605E+02     0.000000E+00    0.100100E+04
  19  drift  0.100868E+02   0.100000E+01  -0.610696E-05   0.733206E+00   0.256865E+00   0.193847E+01   0.673108E+00   0.470383E+01   0.122584E+02   0.250857E-02      0.122499E+00        0.195280E+00        0.231649E+00        0.413143E-01        0.640714E-01        0.752012E-01        0.649764E+01        0.104950E+02        0.131847E+02     0.350756E-02  -0.418117E-01   0.670420E-04   0.764619E-03   0.463491E-01   0.239120E-01   0.555488E+01   0.813621E+00   0.540811E+00   0.296082E+00   0.133021E+01      0.312049E+02     0.000000E+00    0.100100E+04
  20  quad   0.102392E+02   0.100000E+01  -0.610696E-05   0.670320E+00   0.245329E+00   0.178228E+01   0.643962E+00   0.475194E+01   0.124074E+02   0.250857E-02      0.122507E+00        0.195816E+00        0.231735E+00        0.413138E-01        0.640742E-01        0.752045E-01        0.649770E+01        0.104946E+02        0.131842E+02     0.293836E-02  -0.332038E-01   0.773045E-04   0.579997E-03   0.463491E-01   0.244950E-01   0.333280E+01   0.679991E+00   0.113823E+01   0.270088E+00   0.135143E+01      0.318462E+02     0.000000E+00    0.100100E+04
  21  drift  0.122392E+02   0.100000E+01  -0.610696E-05   0.197600E+00   0.185711E+00   0.486229E+00   0.474874E+00   0.540533E+01   0.143593E+02   0.250857E-02      0.122507E+00        0.195816E+00        0.231735E+00        0.413138E-01        0.640742E-01        0.752045E-01        0.649815E+01        0.105024E+02        0.131775E+02    -0.370239E-02  -0.332038E-01   0.193304E-03   0.579997E-03   0.463491E-01   0.302924E-01  -0.228294E+00   0.590896E-01  -0.561638E+00   0.154769E+00   0.162989E+01      0.412032E+02     0.000000E+00    0.100100E+04
