 n_el    name     Phi_in(deg)    Phi_out(deg)   W_in(MeV/u)    W_out(MeV/u)
    1    drift    0.00000E+00    0.45656E+03    0.10000E+04    0.10000E+04
    2    quad     0.00000E+00    0.94343E+02    0.10000E+04    0.10000E+04
    3    drift    0.00000E+00    0.31463E+02    0.10000E+04    0.10000E+04
    4    quad     0.00000E+00    0.94343E+02    0.10000E+04    0.10000E+04
    5    drift    0.00000E+00    0.75764E+02    0.10000E+04    0.10000E+04
    6    quad     0.00000E+00    0.78619E+02    0.10000E+04    0.10000E+04
    7    drift    0.00000E+00    0.10352E+03    0.10000E+04    0.10000E+04
    8    drift    0.00000E+00    0.20755E+03    0.10000E+04    0.10000E+04
    9    drift    0.00000E+00    0.14145E+03    0.10000E+04    0.10000E+04
   10    drift    0.00000E+00    0.10063E+03    0.10000E+04    0.10000E+04
   11    drift    0.00000E+00    0.11746E+03    0.10000E+04    0.10000E+04
   12    bmag     0.00000E+00    0.23974E+03    0.10000E+04    0.10000E+04
   13    drift    0.00000E+00    0.29561E+03    0.10000E+04    0.10000E+04
   14    bmag     0.00000E+00    0.56915E+03    0.10000E+04    0.10000E+04
   15    drift    0.00000E+00    0.31448E+03    0.10000E+04    0.10000E+04
   16    quad     0.00000E+00    0.47926E+02    0.10000E+04    0.10000E+04
   17    drift    0.00000E+00    0.59908E+02    0.10000E+04    0.10000E+04
   18    quad     0.00000E+00    0.47926E+02    0.10000E+04    0.10000E+04
   19    drift    0.00000E+00    0.95255E+02    0.10000E+04    0.10000E+04
   20    quad     0.00000E+00    0.47926E+02    0.10000E+04    0.10000E+04
   21    drift    0.00000E+00    0.62895E+03    0.10000E+04    0.10000E+04
